AM High Strain File
ANSYS 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:20:42
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	High Strain Value
     244	-0.270000045E-02	-0.180000038E-02	 0.129999995E-02	 0.352583942E-03
     243	-0.270000045E-02	-0.180000038E-02	 0.999999940E-03	 0.565381955E-03
     246	-0.240000043E-02	-0.180000038E-02	 0.129999995E-02	 0.400946792E-03
     245	-0.240000043E-02	-0.180000038E-02	 0.999999940E-03	 0.102697323E-02
     249	-0.270000045E-02	-0.180000038E-02	 0.159999995E-02	 0.450801571E-03
     250	-0.240000043E-02	-0.180000038E-02	 0.159999995E-02	 0.352903122E-03
     252	-0.270000045E-02	-0.180000038E-02	 0.189999996E-02	 0.197200908E-03
     253	-0.240000043E-02	-0.180000038E-02	 0.189999996E-02	 0.139567780E-03
     255	-0.270000045E-02	-0.180000038E-02	 0.219999996E-02	 0.110417750E-03
     256	-0.240000043E-02	-0.180000038E-02	 0.219999996E-02	 0.736336689E-04
     258	-0.270000045E-02	-0.180000038E-02	 0.249999997E-02	 0.698471146E-04
     259	-0.240000043E-02	-0.180000038E-02	 0.249999997E-02	 0.453154386E-04
     261	-0.270000045E-02	-0.180000038E-02	 0.279999998E-02	 0.487605512E-04
     262	-0.240000043E-02	-0.180000038E-02	 0.279999998E-02	 0.308012875E-04
     264	-0.270000045E-02	-0.180000038E-02	 0.309999998E-02	 0.360355404E-04
     265	-0.240000043E-02	-0.180000038E-02	 0.309999998E-02	 0.223723562E-04
     267	-0.270000045E-02	-0.180000038E-02	 0.339999999E-02	 0.278425644E-04
     268	-0.240000043E-02	-0.180000038E-02	 0.339999999E-02	 0.170590867E-04
     270	-0.270000045E-02	-0.180000038E-02	 0.369999999E-02	 0.222232520E-04
     271	-0.240000043E-02	-0.180000038E-02	 0.369999999E-02	 0.136283044E-04
     273	-0.270000045E-02	-0.180000038E-02	 0.400000000E-02	 0.181910526E-04
     274	-0.240000043E-02	-0.180000038E-02	 0.400000000E-02	 0.112590122E-04
     411	-0.240000043E-02	-0.210000040E-02	 0.129999995E-02	 0.323719173E-03
     409	-0.240000043E-02	-0.240000043E-02	 0.129999995E-02	 0.289985917E-03
     408	-0.240000043E-02	-0.240000043E-02	 0.999999940E-03	 0.578850153E-03
     410	-0.240000043E-02	-0.210000040E-02	 0.999999940E-03	 0.102373504E-02
     415	-0.210000040E-02	-0.210000040E-02	 0.129999995E-02	 0.291360349E-03
     413	-0.210000040E-02	-0.240000043E-02	 0.129999995E-02	 0.323719173E-03
     412	-0.210000040E-02	-0.240000043E-02	 0.999999940E-03	 0.102373504E-02
     414	-0.210000040E-02	-0.210000040E-02	 0.999999940E-03	 0.101045479E-02
     417	-0.240000043E-02	-0.210000040E-02	 0.159999995E-02	 0.265692498E-03
     416	-0.240000043E-02	-0.240000043E-02	 0.159999995E-02	 0.302727047E-03
     419	-0.210000040E-02	-0.210000040E-02	 0.159999995E-02	 0.188614956E-03
     418	-0.210000040E-02	-0.240000043E-02	 0.159999995E-02	 0.265692498E-03
     421	-0.240000043E-02	-0.210000040E-02	 0.189999996E-02	 0.112441373E-03
     420	-0.240000043E-02	-0.240000043E-02	 0.189999996E-02	 0.144102842E-03
     423	-0.210000040E-02	-0.210000040E-02	 0.189999996E-02	 0.736464505E-04
     422	-0.210000040E-02	-0.240000043E-02	 0.189999996E-02	 0.112441373E-03
     425	-0.240000043E-02	-0.210000040E-02	 0.219999996E-02	 0.627673135E-04
     424	-0.240000043E-02	-0.240000043E-02	 0.219999996E-02	 0.842832218E-04
     427	-0.210000040E-02	-0.210000040E-02	 0.219999996E-02	 0.387426070E-04
     426	-0.210000040E-02	-0.240000043E-02	 0.219999996E-02	 0.627673135E-04
     429	-0.240000043E-02	-0.210000040E-02	 0.249999997E-02	 0.400065200E-04
     428	-0.240000043E-02	-0.240000043E-02	 0.249999997E-02	 0.547439022E-04
     431	-0.210000040E-02	-0.210000040E-02	 0.249999997E-02	 0.241789140E-04
     430	-0.210000040E-02	-0.240000043E-02	 0.249999997E-02	 0.400065200E-04
     433	-0.240000043E-02	-0.210000040E-02	 0.279999998E-02	 0.279906249E-04
