AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:16:36
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Recoater-Interference
   13372	-0.210000040E-02	-0.210000040E-02	 0.399999928E-03	-0.730685992E-06
   13420	-0.240000043E-02	-0.210000040E-02	 0.399999928E-03	-0.730686000E-06
   13417	-0.240000043E-02	-0.180000038E-02	 0.399999928E-03	-0.730685996E-06
   13369	-0.210000040E-02	-0.180000038E-02	 0.399999928E-03	-0.730685988E-06
   13373	-0.210000040E-02	-0.210000040E-02	 0.999999225E-04	 0.103745224E-05
   13421	-0.240000043E-02	-0.210000040E-02	 0.999999225E-04	 0.103745224E-05
   13418	-0.240000043E-02	-0.180000038E-02	 0.999999225E-04	 0.103745224E-05
   13370	-0.210000040E-02	-0.180000038E-02	 0.999999225E-04	 0.103745225E-05
   13414	-0.240000043E-02	-0.150000036E-02	 0.399999928E-03	-0.730685991E-06
   13366	-0.210000040E-02	-0.150000036E-02	 0.399999928E-03	-0.730685984E-06
   13415	-0.240000043E-02	-0.150000036E-02	 0.999999225E-04	 0.103745224E-05
   13367	-0.210000040E-02	-0.150000036E-02	 0.999999225E-04	 0.103745225E-05
   13324	-0.180000038E-02	-0.240000043E-02	 0.399999928E-03	-0.730685988E-06
   13375	-0.210000040E-02	-0.240000043E-02	 0.399999928E-03	-0.730685996E-06
   13321	-0.180000038E-02	-0.210000040E-02	 0.399999928E-03	-0.730685984E-06
   13325	-0.180000038E-02	-0.240000043E-02	 0.999999225E-04	 0.103745225E-05
   13376	-0.210000040E-02	-0.240000043E-02	 0.999999225E-04	 0.103745224E-05
   13322	-0.180000038E-02	-0.210000040E-02	 0.999999225E-04	 0.103745225E-05
   13318	-0.180000038E-02	-0.180000038E-02	 0.399999928E-03	-0.730685980E-06
   13319	-0.180000038E-02	-0.180000038E-02	 0.999999225E-04	 0.103745226E-05
   13315	-0.180000038E-02	-0.150000036E-02	 0.399999928E-03	-0.730685976E-06
   13316	-0.180000038E-02	-0.150000036E-02	 0.999999225E-04	 0.103745226E-05
   13270	-0.150000036E-02	-0.240000043E-02	 0.399999928E-03	-0.730685979E-06
