AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:15:42
Title: --Transient Thermal
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Deposition-Temp
   13372	-0.210000040E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   13420	-0.240000043E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   13417	-0.240000043E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   13369	-0.210000040E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   13373	-0.210000040E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   13421	-0.240000043E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   13418	-0.240000043E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   13370	-0.210000040E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   13414	-0.240000043E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   13366	-0.210000040E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   13415	-0.240000043E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   13367	-0.210000040E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   13324	-0.180000038E-02	-0.240000043E-02	 0.399999928E-03	  701.079618    
   13375	-0.210000040E-02	-0.240000043E-02	 0.399999928E-03	  701.079618    
   13321	-0.180000038E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   13325	-0.180000038E-02	-0.240000043E-02	 0.999999225E-04	  701.069505    
   13376	-0.210000040E-02	-0.240000043E-02	 0.999999225E-04	  701.069505    
   13322	-0.180000038E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   13318	-0.180000038E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   13319	-0.180000038E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   13315	-0.180000038E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   13316	-0.180000038E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
